District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph),Month,Year
Adilabad,Adilabad Rural,1-Jul-22,6,23.8,35.8,54.4,97.8,0,10,7,2022
Adilabad,Adilabad Rural,2-Jul-22,0,25.1,34.7,57,86.6,0,9,7,2022
Adilabad,Adilabad Rural,3-Jul-22,39.3,23.5,33.7,59.1,98.8,0,10.2,7,2022
Adilabad,Adilabad Rural,4-Jul-22,21.3,23.1,31.3,71,99.3,0,10.4,7,2022
Adilabad,Adilabad Rural,5-Jul-22,37.8,23.5,27.7,83.3,99.9,0,11.1,7,2022
Adilabad,Adilabad Rural,6-Jul-22,8.5,23.9,30.3,74.8,98.3,0,10.5,7,2022
Adilabad,Adilabad Rural,7-Jul-22,37.5,23.5,31.5,73.5,99.9,0,6.3,7,2022
Adilabad,Adilabad Rural,8-Jul-22,23.8,23.5,32,72.1,99.9,0,9.4,7,2022
Adilabad,Adilabad Rural,9-Jul-22,27,22.7,25.8,93.4,100,0,8.1,7,2022
Adilabad,Adilabad Rural,10-Jul-22,55.5,22.8,27,92.7,95.9,0,7.8,7,2022
Adilabad,Adilabad Rural,11-Jul-22,45,22.9,27.3,92.6,100,1.7,7,7,2022
Adilabad,Adilabad Rural,12-Jul-22,112.8,22.5,24.7,98.3,100,0,0.1,7,2022
Adilabad,Adilabad Rural,13-Jul-22,312.8,22.4,23.8,94.4,96.1,3.1,8.6,7,2022
Adilabad,Adilabad Rural,14-Jul-22,187.8,23.1,26.5,86.8,100,0,2,7,2022
Adilabad,Adilabad Rural,15-Jul-22,41.6,25.2,27.8,87.6,95.9,0.9,8.1,7,2022
Adilabad,Adilabad Rural,16-Jul-22,1.5,26.1,32.3,71.1,92,0,12.5,7,2022
Adilabad,Adilabad Rural,17-Jul-22,0,27.1,33.7,59.6,86.3,2.6,13.1,7,2022
Adilabad,Adilabad Rural,18-Jul-22,23.6,25.9,29.4,92.4,95.9,1.4,7,7,2022
Adilabad,Adilabad Rural,19-Jul-22,7.5,24.8,28.3,78,94,1,15,7,2022
Adilabad,Adilabad Rural,20-Jul-22,6.3,24.5,32.9,65.2,97.6,0,12.3,7,2022
Adilabad,Adilabad Rural,21-Jul-22,2.8,23.8,30.5,72.4,97.2,0,12.1,7,2022
Adilabad,Adilabad Rural,22-Jul-22,2.3,24,29.5,76.3,96.7,0,10.7,7,2022
Adilabad,Adilabad Rural,23-Jul-22,47.3,23,29.2,79.1,99.9,0,11.8,7,2022
Adilabad,Adilabad Rural,24-Jul-22,21,23.1,27.6,99.9,100,0.9,6.9,7,2022
Adilabad,Adilabad Rural,25-Jul-22,0,25.9,29,87.6,93,0,5.9,7,2022
Adilabad,Adilabad Rural,26-Jul-22,61,23.2,32.2,69.7,100,0,7.3,7,2022
Adilabad,Adilabad Rural,27-Jul-22,15,23.3,25.6,92.9,100,0,7.2,7,2022
Adilabad,Adilabad Rural,28-Jul-22,0,24.4,31.6,73,98.8,0,7,7,2022
Adilabad,Adilabad Rural,29-Jul-22,2.3,24.1,32.2,70.2,99.2,0,5.9,7,2022
Adilabad,Adilabad Rural,30-Jul-22,2.3,26.6,32.5,68.7,87.5,0.7,12.3,7,2022
Adilabad,Adilabad Rural,31-Jul-22,0,26.7,32.8,64.7,90.6,0.8,7.3,7,2022
Adilabad,Adilabad Urban,1-Jul-22,12.7,24,36,59.6,98.6,0,5.6,7,2022
Adilabad,Adilabad Urban,2-Jul-22,9.1,25.4,33,67.6,98.3,0,4.9,7,2022
Adilabad,Adilabad Urban,3-Jul-22,31.7,24.5,33.2,63.4,99.3,0,6,7,2022
Adilabad,Adilabad Urban,4-Jul-22,17.1,23.5,32,75.8,99.3,0,7.1,7,2022
Adilabad,Adilabad Urban,5-Jul-22,16.7,24.2,28.8,88.2,99.4,0,7.7,7,2022
Adilabad,Adilabad Urban,6-Jul-22,6.9,24.3,31,78.4,98.2,0,6.4,7,2022
Adilabad,Adilabad Urban,7-Jul-22,15.6,23.9,31.3,70,98.9,0,5.1,7,2022
Adilabad,Adilabad Urban,8-Jul-22,20.8,23.9,31.7,79.3,99.3,0,6.6,7,2022
Adilabad,Adilabad Urban,9-Jul-22,10,23.8,26.8,92.7,99.4,0,5.7,7,2022
Adilabad,Adilabad Urban,10-Jul-22,27.1,23.2,26,94.7,99.7,0,6.4,7,2022
Adilabad,Adilabad Urban,11-Jul-22,14.7,23,26.9,91.5,99.5,0,3.3,7,2022
Adilabad,Adilabad Urban,12-Jul-22,77.6,22.9,25.8,97,99.8,0,3.4,7,2022
Adilabad,Adilabad Urban,13-Jul-22,104,22.9,24.4,99.7,100,0,0.3,7,2022
Adilabad,Adilabad Urban,14-Jul-22,47.7,22.2,24.8,86.8,100,,,7,2022
Adilabad,Adilabad Urban,15-Jul-22,32.7,22.7,26.4,92.3,99.8,1.2,1.9,7,2022
Adilabad,Adilabad Urban,16-Jul-22,0,23.9,31.6,74.8,97.6,0,3.4,7,2022
Adilabad,Adilabad Urban,17-Jul-22,1.2,24.7,34,66.4,99,0,1.4,7,2022
Adilabad,Adilabad Urban,18-Jul-22,14.2,23.6,30.1,89.6,99.2,,,7,2022
Adilabad,Adilabad Urban,19-Jul-22,2.7,23.7,29.9,84.6,97.7,,,7,2022
Adilabad,Adilabad Urban,20-Jul-22,8,24.8,33.7,70.9,97.7,0,3.8,7,2022
Adilabad,Adilabad Urban,21-Jul-22,0.2,24.7,32.8,76.2,99,0,3.5,7,2022
Adilabad,Adilabad Urban,22-Jul-22,0.2,24.9,30.5,80.2,97.6,,,7,2022
Adilabad,Adilabad Urban,23-Jul-22,47.5,23.3,30.8,80.1,99.1,0.1,6.5,7,2022
Adilabad,Adilabad Urban,24-Jul-22,12.6,23.7,27.9,91.7,99.4,,,7,2022
Adilabad,Adilabad Urban,25-Jul-22,1.8,23.3,28.2,87.9,98.5,,,7,2022
Adilabad,Adilabad Urban,26-Jul-22,39.3,23.5,30.7,77.5,99.7,0,2.6,7,2022
